env_idx,pso_idx,min_cost,p25_cost,p75_cost,max_cost
6,13,3.9120657444000244,4.118585824966431,5.062052249908447,6.128198146820068
7,13,4.1053619384765625,4.495302438735962,5.195216417312622,6.181398868560791
4,14,4.347878456115723,5.043575286865234,5.711871981620789,6.700924873352051
5,14,3.8529515266418457,4.78914737701416,5.419341802597046,6.412031173706055
6,14,3.9120657444000244,4.159851551055908,5.053260087966919,6.267446517944336
7,14,4.128186225891113,4.624021291732788,5.2889862060546875,6.588119029998779
4,15,4.332059860229492,5.001589059829712,5.711863994598389,7.016561508178711
5,15,3.8825089931488037,4.745832324028015,5.366724252700806,6.3871378898620605
6,15,3.9120657444000244,4.210097908973694,5.064900159835815,6.081159591674805
7,15,4.111252784729004,4.4832282066345215,5.194703936576843,6.438331127166748
4,16,4.332059860229492,4.843357086181641,5.57645058631897,6.799472332000732
5,16,3.814225673675537,4.764914274215698,5.428954482078552,6.370594501495361
6,16,3.9120657444000244,4.202620029449463,5.094644784927368,6.303682804107666
7,16,4.04648494720459,4.423818111419678,5.23626172542572,6.2489118576049805
4,17,4.332059860229492,4.916834354400635,5.5590660572052,6.678663730621338
5,17,3.834373712539673,4.596831321716309,5.359266877174377,6.8139238357543945
6,17,3.9120657444000244,4.1892313957214355,5.004856109619141,5.804942607879639
7,17,4.111252784729004,4.452073097229004,5.277032375335693,6.182227611541748
4,18,4.332059860229492,4.8990079164505005,5.538614511489868,6.492203235626221
5,18,3.814225673675537,4.689899802207947,5.452589750289917,6.499528884887695
6,18,3.9120657444000244,4.126226902008057,5.0211875438690186,5.95729923248291
7,18,4.128186225891113,4.442864894866943,5.203454971313477,6.442146301269531
4,19,4.332059860229492,4.867228746414185,5.56237518787384,6.668309211730957
5,19,3.834373712539673,4.659574747085571,5.455671191215515,7.054774284362793
6,19,3.9120657444000244,4.088694095611572,5.044471263885498,6.035200119018555
7,19,4.1153106689453125,4.451784133911133,5.159798741340637,6.243389129638672
4,20,4.332059860229492,4.849149465560913,5.5173375606536865,6.3889288902282715
5,20,3.814225673675537,4.723581790924072,5.506785869598389,6.750467777252197
6,20,3.9120657444000244,4.116255760192871,5.02081024646759,6.187865734100342
7,20,4.04648494720459,4.399420738220215,5.1500972509384155,5.9840850830078125
4,21,4.332059860229492,4.840494275093079,5.5530478954315186,6.713210105895996
5,21,3.814225673675537,4.690551519393921,5.550263404846191,6.293128967285156
6,21,3.9120657444000244,4.1193623542785645,5.078545093536377,5.898822784423828
7,21,4.04648494720459,4.387700319290161,5.211021542549133,6.325126647949219
4,22,4.332059860229492,4.7860225439071655,5.561896562576294,6.5942792892456055
5,22,3.814225673675537,4.672081470489502,5.403335213661194,6.694751739501953
6,22,3.9120657444000244,4.136441707611084,5.037915110588074,6.136478900909424
7,22,4.04648494720459,4.350514531135559,5.071247100830078,5.9504499435424805
4,23,4.332059860229492,4.816498160362244,5.558055520057678,6.554205417633057
5,23,3.814225673675537,4.644477963447571,5.452730059623718,6.871953964233398
6,23,3.9120657444000244,4.126226902008057,5.0486650466918945,5.817927837371826
7,23,4.040594100952148,4.4189921617507935,5.160678148269653,6.376629829406738
4,24,4.332059860229492,4.869778156280518,5.547685265541077,6.678151607513428
5,24,3.814225673675537,4.716001629829407,5.419170498847961,6.066511631011963
6,24,3.9120657444000244,4.048802137374878,5.050463914871216,6.027007102966309
7,24,4.040594100952148,4.443589210510254,5.091392636299133,6.444646835327148
4,25,4.332059860229492,4.774381399154663,5.495305776596069,7.06916618347168
5,25,3.814225673675537,4.550594091415405,5.377683997154236,6.372353553771973
6,25,3.9120657444000244,4.168414831161499,5.042590618133545,5.79220724105835
7,25,4.040594100952148,4.425897121429443,5.089362025260925,6.394977569580078
4,26,4.332059860229492,4.789933204650879,5.503557562828064,6.539604187011719
5,26,3.814225673675537,4.632962226867676,5.476433873176575,6.624794960021973
6,26,3.9120657444000244,4.1404337882995605,5.012630462646484,5.9015655517578125
7,26,4.040594100952148,4.409530878067017,5.1302196979522705,6.119113922119141
4,27,4.332059860229492,4.769381999969482,5.5224868059158325,6.587366104125977
5,27,3.814225673675537,4.596831321716309,5.407140851020813,6.244563102722168
6,27,3.9120657444000244,4.054069995880127,5.060658931732178,6.16988468170166
7,27,4.040594100952148,4.338960766792297,5.014110684394836,5.732205390930176
4,28,4.332059860229492,4.805976390838623,5.505054235458374,6.394240379333496
5,28,3.814225673675537,4.55291485786438,5.392711877822876,6.347400188446045
6,28,3.9120657444000244,4.118585824966431,5.060416221618652,5.958978652954102
7,28,4.040594100952148,4.349983811378479,4.995705604553223,6.470516204833984
4,29,4.332059860229492,4.760279655456543,5.536579966545105,6.455395698547363
5,29,3.814225673675537,4.576155424118042,5.4864524602890015,6.567330360412598
6,29,3.9120657444000244,4.1404337882995605,5.0462963581085205,5.897799491882324
7,29,4.040594100952148,4.376298785209656,5.018844962120056,5.899838447570801
4,30,4.332059860229492,4.843957901000977,5.516006827354431,6.7769389152526855
5,30,3.814225673675537,4.646131157875061,5.463508605957031,6.654104709625244
6,30,3.9120657444000244,4.116255760192871,5.01460075378418,6.398287296295166
